//COMMON
"Player [_1] is now subscribed to you.";"Player [_1] is now subscribed to you."
"Player [_1] has sent you a friend request.";"Player [_1] has sent you a friend request."
"Player [_1] has accepted your friend request.";"Player [_1] has accepted your friend request."
"Player [_1] has posted a new topic in forum [_2].";"Player [_1] has posted a new topic in forum [_2]."
"News from company [_1].";"News from company [_1]."
"News from game [_1].";"News from game [_1]."
"News from group [_1].";"News from group [_1]."
"Player(s) [_1] commented on a [_2]news item[_3], you subscribe to";"Player(s) [_1] commented on a [_2]news item[_3], you subscribe to"
"Player [_1] has invited you to join the group [_2].","Player [_1] has invited you to join the group [_2]."
"Player [_1] has applied to join the group [_2].","Player [_1] has applied to join the group [_2]."

//forum
"Choose Category";"Choose Category"
"Posts";"Posts"
"Create new category";"Create new category"
"Thread title";"Thread title"
"Statistics";"Statistics"
"Last Post";"Last Post"
"Views";"Views"
"Replies";"Replies"
"Quote";"Quote"
"Reply";"Reply"
"Forum";"Forum"
"Create board";"Create board"
"Create category";"Create category"
"Edit category";"Edit category"
"Delete category";"Delete category"
"Edit board";"Edit board"
"Delete board";"Delete board"
"Create Thread";"Create Thread"
"Search here...";"Search here..."
"Search";"Search"
"Create new thread";"Create new thread"
"Thread title";"Thread title"
"Statistics";"Statistics"
"Last Post";"Last Post"
"Views";"Views"
"Replies";"Replies"
"Create New Board";"Create New Board"
"Create new";"Create new"
"New category name";"New category name"
"Title of the new board";"Title of the new board"
"Create";"Create"
"Create New Category";"Create New Category"
"Create New Topic";"Create New Topic"
"Title of the new topic";"Title of the new topic"
"Edit";"Edit"
"Edit Category";"Edit Category"
"Text for the post";"Text for the post"
"Quote";"Quote"
"Add Board";"Add Board"
"Delete";"Delete"
"Topics";"Topics"
"Replies";"Replies"
"In";"In"
"By";"By"
"Games";"Games"
"Posts";"Posts"
"Threads";"Threads"
"[_1] at [_2] said";"[_1] at [_2] said"
"This board does not contain any topics";"This board does not contain any topics"

//companies
"Company Info","Company Info"
"Headquarters","Headquarters"
"Founded","Founded"
"Employees","Employees"
"All Companies","All Companies"
"Show more companies","Show more companies"
"Add Download","Add Download"
"Select Tab","Select Tab"
"File Name","File Name"
"File Size","File Size"
"File URL","File URL"
"Download Description >","Download Description >"
"Add","Add"
"Add New Tab","Add New Tab"
"Name","Name"
"Add Game","Add Game"
"Genre","Genre"
"Platforms","Platforms"
"Release Date","Release Date"
"ESRB Rating","ESRB Rating"
"URL","URL"
"Game Description >","Game Description >"
"Add Media","Add Media"
"Youtube Videos >","Youtube Videos >"
"Edit Company Info","Edit Company Info"
"Company Type","Company Type"
"Headquarters","Headquarters"
"Founded","Founded"
"Ownership","Ownership"
"Employees","Employees"
"Company Url","Company Url"
"Company Description >","Company Description >"
"Edit Download","Edit Download"
"Edit Tab","Edit Tab"
"Edit Media","Edit Media"
"Game Info","Game Info"
"News","News"
"Forum","Forum"
"Players","Players"
"Media","Media"
"Game Events","Game Events"
"Search companies...","Search companies..."
"Company","Company"
"Size","Size"
"Date","Date"
"Downloads","Downloads"
"View Comments","View Comments"
"Videos","Videos"
"Screenshots","Screenshots"
"Concept Art","Concept Art"
"Wallpapers","Wallpapers"
"Company Events","Company Events"

//games
"Show more games","Show more games"
"I play this","I play this"
"Edit Game Info","Edit Game Info"


//groups
"Add Affiliated Group","Add Affiliated Group"
"Search groups...","Search groups..."
"Short Description >","Short Description >"
"Create Group","Create Group"
"Group Name","Group Name"
"Search game...","Search game..."
"Type 1","Type 1"
"Type 2","Type 2"
"Group Description >","Group Description >"
"Create","Create"
"Invite Members","Invite Members"
"Search Player...","Search Player..."
"Invite","Invite"
"Edit Affiliated Group","Edit Affiliated Group"
"Edit Group Info","Edit Group Info"
"Group Name","Group Name"
"Group Leader","Group Leader"
"Request To Join Group","Request To Join Group"
"Group Info","Group Info"
"Members","Members"
"Group Events","Group Events"
"Group","Group"
"Affiliated groups","Affiliated groups"
"Add Affiliate","Add Affiliate"
"Invite Member","Invite Member"
"Request To Join [_1]","Request To Join [_1]"
"Tell us why you want to join our group","Tell us why you want to join our group"
"Symbols left","Symbols left"
"Post by","Post by"


//Calendar
"Note added";"Note added"
"Note deleted";"Note deleted"
"Note edited";"Note edited"
"Mon";"Mon"
"Tue";"Tue"
"Wed";"Wed"
"Thu";"Thu"
"Fri";"Fri"
"Sat";"Sat"
"Sun";"Sun"
"January";"January"
"February";"February"
"March";"March"
"April";"April"
"May";"May"
"June";"June"
"July";"July"
"August";"August"
"September";"September"
"October";"October"
"November";"November"
"December";"December"
"Add note";"Add note"
"Edit note";"Edit note"
"Personal";"Personal"
"Week";"Week
"Symbols left:";"Symbols left:"
"Delete all";"Delete all"
"Set weekly";"Set weekly"
"Set monthly";"Set monthly"
"Set yearly";"Set yearly"
"Off";"Off"
"Limit";"Limit"
"End date";"End date"
"Invited to [_1] ";"Invited to [_1] "
"Participating in [_1] ";"Participating in [_1] "

//Events
"Events";"Events"
"Participants";"Participants"
"User Info";"User Info"
"Age";"Age"
"Country";"Country"
"Create new event";"Create new event"
"Date";"Date"
"Location";"Location"
"Participate";"Participate"
"Time";"Time"
"Invited";"Invited"
"Join Event";"Join Event"
"Event Title";"Event Title"
"Event Location";"Event Location"
"Starting date";"Starting date"
"Recur until";"Recur until"
"Event Description";"Event Description"
"Live";"Live"
"Esport";"Esport"
"Never";"Never"
"Weekly";"Weekly"
"Monthly";"Monthly"
"Yearly";"Yearly"
"Private";"Private"
"Public";"Public"
"Closed";"Closed"
"Open";"Open"
"User";"User"
"Create Event";"Create Event"
"Participating in [_1] ";"Participating in [_1] "
"Invited to [_1] ";"Invited to [_1] "
"Search results";"Search results"
"Participating in [_1] ";"Participating in [_1] "

//shop
"Loading Paypal, please wait.","Loading Paypal, please wait."
